12,12,12,12
44,50,12,12
76,87,44,50
99,131,76,87
36,117,76,87
106,47,76,87
9,111,36,117
155,50,106,47
201,68,155,50
231,107,201,68
277,124,231,107
281,173,277,124
297,220,281,173
275,265,297,220
282,314,275,265
283,364,282,314
279,414,283,364
268,463,279,414
53,122,36,117
246,508,268,463
289,532,246,508
196,512,246,508
44,109,36,117
227,281,275,265
298,206,297,220
135,53,155,50
277,321,282,314
212,559,196,512
187,11,155,50
156,480,196,512
181,259,227,281
140,289,181,259
298,581,289,532
192,605,212,559
51,172,53,122
166,648,192,605
199,685,166,648
179,731,199,685
245,704,199,685
179,781,179,731
285,733,245,704
335,733,285,733
118,88,135,53
383,721,335,733
432,713,383,721
477,734,432,713
526,724,477,734
188,830,179,781
459,711,432,713
569,698,526,724
284,466,268,463
349,780,335,733
614,718,569,698
379,820,349,780
641,676,614,718
555,649,569,698
661,630,641,676
101,255,140,289
95,176,51,172
129,726,179,731
691,590,661,630
550,599,555,649
416,852,379,820
118,513,156,480
248,407,279,414
274,334,277,321
724,552,691,590
773,541,724,552
278,667,245,704
153,72,155,50
680,707,641,676
807,577,773,541
697,509,724,552
839,615,807,577
205,379,248,407
529,553,550,599
238,271,227,281
280,203,298,206
231,492,246,508
858,661,839,615
206,496,196,512
676,478,697,509
74,488,118,513
174,25,187,11
282,89,277,124
682,757,680,707
720,788,682,757
595,658,555,649
223,298,227,281
554,692,569,698
605,767,614,718
217,736,179,731
95,689,129,726
464,839,416,852
176,803,179,781
240,463,268,463
801,499,773,541
693,431,676,478
738,607,691,590
96,764,129,726
631,492,676,478
253,605,298,581
83,711,95,689
648,406,693,431
391,895,416,852
473,790,464,839
513,505,529,553
403,903,391,895
500,456,513,505
742,832,720,788
621,363,648,406
683,529,697,509
896,693,858,661
586,814,605,767
236,498,231,492
360,934,391,895
697,445,693,431
552,626,555,649
190,524,196,512
549,603,550,599
331,95,282,89
785,856,742,832
433,896,403,903
633,314,621,363
938,719,896,693
489,406,500,456
661,272,633,314
489,688,459,711
684,227,661,272
526,437,500,456
709,183,684,227
719,166,709,183
511,689,489,688
427,853,416,852
741,416,693,431
595,394,621,363
256,277,238,271
94,179,95,176
556,413,526,437
205,687,199,685
379,83,331,95
270,695,245,704
534,565,529,553
673,557,683,529
767,179,719,166
726,687,680,707
589,864,586,814
39,451,74,488
58,524,74,488
194,614,192,605
773,671,726,687
964,676,938,719
608,512,631,492
554,375,556,413
500,423,489,406
876,581,839,615
800,216,767,179
664,535,683,529
420,733,432,713
596,400,595,394
617,246,661,272
805,146,767,179
843,473,801,499
795,266,800,216
774,454,741,416
784,552,773,541
49,564,58,524
593,201,617,246
556,680,554,692
230,198,280,203
600,183,593,201
639,695,641,676
312,950,360,934
273,725,285,733
151,575,192,605
703,442,697,445
825,885,785,856
781,101,805,146
630,164,600,183
824,825,785,856
158,870,188,830
210,200,230,198
262,778,285,733
840,286,795,266
750,227,767,179
109,883,158,870
364,719,383,721
81,708,83,711
461,792,473,790
593,349,621,363
908,542,876,581
177,499,196,512
844,336,840,286
209,55,201,68
282,382,283,364
121,912,109,883
197,52,209,55
751,60,781,101
864,794,824,825
193,801,176,803
409,42,379,83
908,817,864,794
907,795,908,817
546,869,589,864
346,820,379,820
218,769,217,736
855,146,805,146
728,380,741,416
883,104,855,146
827,758,864,794
554,596,550,599
894,331,844,336
184,368,205,379
144,9,174,25
658,680,641,676
848,889,825,885
505,414,500,423
480,740,477,734
810,288,795,266
422,942,403,903
665,517,664,535
83,245,101,255
69,272,83,245
116,322,140,289
85,947,121,912
602,601,554,596
704,39,751,60
548,869,546,869
889,495,843,473
786,24,751,60
474,357,489,406
559,917,546,869
837,386,844,336
904,281,894,331
234,798,218,769
852,257,840,286
568,874,548,869
871,401,837,386
634,886,589,864
848,931,848,889
476,459,500,456
74,349,116,322
535,949,559,917
48,518,58,524
659,748,682,757
272,288,256,277
175,298,140,289
356,834,346,820
492,310,474,357
337,91,331,95
699,43,704,39
67,855,109,883
23,91,9,111
646,615,661,630
926,591,876,581
134,750,129,726
263,519,246,508
690,594,691,590
808,264,795,266
184,47,197,52
73,845,67,855
376,79,379,83
755,70,751,60
847,683,858,661
806,959,848,931
845,225,852,257
731,88,755,70
655,18,699,43
561,783,586,814
126,312,116,322
28,42,44,50
890,795,907,795
872,822,864,794
550,598,550,599
716,588,691,590
545,185,593,201
141,501,156,480
773,490,801,499
623,533,608,512
849,342,844,336
932,240,904,281
725,748,720,788
864,524,889,495
784,638,773,671
661,411,648,406
608,688,614,718
374,770,349,780
759,600,738,607
664,846,634,886
288,974,312,950
333,67,337,91
897,172,855,146
526,400,505,414
468,524,513,505
903,730,938,719
622,753,605,767
461,469,476,459
394,792,374,770
156,565,151,575
644,584,646,615
